Model,Difficulty,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,Sample_Count
Meta-Llama-3-8B,Easy,0.5360416666666666,0.34532586989048547,0.65,0.0,1.0,240
Meta-Llama-3-8B,Hard,0.4731884057971015,0.32830615338485314,0.6,0.0,0.9,207
Meta-Llama-3-8B,Medium,0.5357855361596009,0.3362996340917941,0.6,0.0,1.0,401
Mistral-7B-v0.1,Easy,0.4814583333333333,0.3578468243830867,0.6,0.0,1.0,240
Mistral-7B-v0.1,Hard,0.34855072463768116,0.33392026559306665,0.2,0.0,0.85,207
Mistral-7B-v0.1,Medium,0.4483790523690773,0.36493645468779873,0.6,0.0,1.0,401
deepseek-llm-7b-chat,Easy,0.3875,0.48819752158699337,0.0,0.0,1.0,240
deepseek-llm-7b-chat,Hard,0.565487922705314,0.4987266003942537,1.0,0.0,1.5,207
deepseek-llm-7b-chat,Medium,0.4576034912718205,0.49765800997048176,0.0,0.0,1.1,401
aya-expanse-8b,Easy,0.7602083333333332,0.2456950654820552,0.85,0.0,1.0,240
aya-expanse-8b,Hard,0.6717391304347825,0.2737032436733229,0.85,0.0,1.0,207
aya-expanse-8b,Medium,0.6995511221945137,0.2727330159789745,0.85,0.0,1.0,401
Qwen2.5-7B-Instruct,Easy,0.8458333333333331,0.13523315266161826,0.85,0.0,1.0,240
Qwen2.5-7B-Instruct,Hard,0.8031400966183572,0.1828902124013848,0.85,0.0,1.0,207
Qwen2.5-7B-Instruct,Medium,0.8271820448877804,0.1472134140518725,0.85,0.0,1.0,401
